tenantId,Name,Description
1,xoom-actors,vlingo Actor developers and vested parties.
1,xoom-auth,vlingo Auth developers and vested parties.
1,xoom-cluster,vlingo Cluster developers and vested parties.
1,xoom-directory,vlingo Directory developers and vested parties.
1,xoom-examples,vjlingo Examples developers and vested parties.
1,xoom-http,vlingo HTTP developers and vested parties.
1,xoom-lattice,vlingo Lattice developers and vested parties.
1,xoom-lattice-kotlin,vlingo Lattice Kotlin developers and vested parties.
1,xoom-schemata,vlingo Schemata developers and vested parties.
1,xoom-symbio,vlingo Symbio developers and vested parties.
1,xoom-symbio-dynamodb,vlingo Dynamodb developers and vested parties.
1,xoom-symbio-geode,vlingo Geode developers and vested parties.
1,xoom-symbio-jdbc,vlingo CQRS JDBC developers and vested parties.
1,xoom-symbio-snappydata,vlingo SnappyData developers and vested parties.
1,xoom-telemetry,vlingo Telemetry developers and vested parties.
1,xoom-wire,vlingo Wire developers and vested parties.
